course_id,name,category,difficulty,estimated_hours,goal_role,prerequisites,skills,concept_overlap_group,module_list,url,course_description,course_type,industry_relevance,job_market_demand,skill_level,skill_category,core_skills,prerequisite_level,recommended_background,next_courses,target_roles,career_importance,learning_outcomes,practical_application,assessment_method,difficulty_score,career_value_score,skill_growth_score,num_prerequisites,num_skills,learning_load,skill_density
C001,"Anatomy & Physiology: Regulation, Integration, & Control",Health,Intermediate,28,Data Scientist,Medical Terminology,"Medical Terminology, Endocrinology, Life Sciences, Biology, Clinical Practices, Neurology, Anatomy, Physiology",5,,https://www.coursera.org/learn/anatomy--physiology-regulation-integration--control,Introduces key concepts and practical applications of None.,Health,High,High,Intermediate,Health,Medical Terminology; Endocrinology; Life Sciences; Biology; Clinical Practices,Basic Knowledge Required,Relevant fundamentals based on prerequisites.,,Data Scientist,Important,Apply None concepts to practical tasks.,Coding Exercises,Coding Assignment,3,8,8,1,8,28,8
C002,Excel Essentials and Beyond,Data Science,Intermediate,49,Full Stack,Data Presentation,"Data Presentation, Pivot Tables And Charts, Spreadsheet Software, Excel Formulas, Data-Driven Decision-Making, Dashboard, Data Storytelling, Data Validation, Data Analysis, Data Cleansing, Data Visualization, Data Visualization Software",64,"Navigate Excel with confidence, leveraging essential tools and techniques for efficient data organization and presentati",https://www.coursera.org/learn/excel-essentials-and-beyond,Introduces key concepts and practical applications of None.,Data Science,High,High,Intermediate,Data Science,Data Presentation; Pivot Tables And Charts; Spreadsheet Software; Excel Formulas; Data-Driven Decision-Making,Basic Knowledge Required,Relevant fundamentals based on prerequisites.,,Full Stack,Important,Apply None concepts to practical tasks.,Coding Exercises,Coding Assignment,3,8,8,1,12,49,12
C003,Project Execution: Running the Project,Business,Beginner,8,AI Engineer,Continuous Improvement Process,"Continuous Improvement Process, Data Storytelling, Project Closure, Stakeholder Communications, Data-Driven Decision-Making, Project Controls, Project Management, Team Management, Strategic Thinking, Communication Strategies, Project Management Life Cycle, Meeting Facilitation, Risk Management, Project Documentation, Quality Assessment, Quality Management, Project Risk Management",45,"Implement the key quality management concepts of quality standards, quality planning, quality assurance, and quality con",https://www.coursera.org/learn/project-execution-google,Introduces key concepts and practical applications of None.,Business,High,High,Beginner,Business,Continuous Improvement Process; Data Storytelling; Project Closure; Stakeholder Communications; Data-Driven Decision-Making,Unknown,Relevant fundamentals based on prerequisites.,,AI Engineer,Important,Apply None concepts to practical tasks.,Coding Exercises,Coding Assignment,1,8,8,1,17,8,17
C004,Taxation of Multinationals for Everyone,Business,Intermediate,26,ML Engineer,Income Tax,"Income Tax, Tax Planning, Tax, Corporate Tax, Tax Compliance, International Finance, Tax Laws",74,Participants will gain a comprehensive understanding of corporate tax systems and the OECD's work on the Base Erosion an,https://www.coursera.org/learn/taxation-of-multinationals,Introduces key concepts and practical applications of None.,Business,High,High,Intermediate,Business,Income Tax; Tax Planning; Tax; Corporate Tax; Tax Compliance,Basic Knowledge Required,Relevant fundamentals based on prerequisites.,,ML Engineer,Important,Apply None concepts to practical tasks.,Coding Exercises,Coding Assignment,3,8,8,1,7,26,7
C005,Creating Change through Social Entrepreneurship,Business,Intermediate,53,Backend Developer,Advocacy,"Advocacy, Entrepreneurship, Design Thinking, Research and Design, Fundraising, Performance Metric, Stakeholder Engagement, Innovation, Organizational Structure, Social Sciences, Sustainable Development, Verbal Communication Skills, Business Modeling, Community Outreach",58,,https://www.coursera.org/learn/creating-change-through-social-entrepreneurship,Introduces key concepts and practical applications of None.,Business,High,High,Intermediate,Business,Advocacy; Entrepreneurship; Design Thinking; Research and Design; Fundraising,Basic Knowledge Required,Relevant fundamentals based on prerequisites.,,Backend Developer,Important,Apply None concepts to practical tasks.,Coding Exercises,Coding Assignment,3,8,8,1,14,53,14
C006,Transforming Exploratory Data Analysis with AI,Data Science,Beginner,41,Backend Developer,Artificial Intelligence,"Artificial Intelligence, Data-Driven Decision-Making, Pandas (Python Package), Generative AI, Automation, Exploratory Data Analysis, OpenAI, Descriptive Statistics, Data Processing, Data Visualization Software, Responsible AI",7,,https://www.coursera.org/learn/transforming-exploratory-data-analysis-with-ai,Introduces key concepts and practical applications of None.,Data Science,High,High,Beginner,Data Science,Artificial Intelligence; Data-Driven Decision-Making; Pandas (Python Package); Generative AI; Automation,Unknown,Relevant fundamentals based on prerequisites.,,Backend Developer,Important,Apply None concepts to practical tasks.,Coding Exercises,Coding Assignment,1,8,8,1,11,41,11
C007,Introduction to Risk Management,Business,Intermediate,58,AI Engineer,Probability Distribution,"Probability Distribution, Enterprise Risk Management (ERM), Risk Analysis, Investment Management, Financial Modeling, Portfolio Management, Capital Markets, Market Liquidity, Financial Market, Finance, Financial Regulation, Risk Modeling, Business Risk Management, Risk Management, Operational Risk, Credit Risk",80,"Differentiate between financial and business risks
Differentiate between financial and business risks
Examine the key co",https://www.coursera.org/learn/introduction-to-risk-management,Introduces key concepts and practical applications of None.,Business,High,High,Intermediate,Business,Probability Distribution; Enterprise Risk Management (ERM); Risk Analysis; Investment Management; Financial Modeling,Basic Knowledge Required,Relevant fundamentals based on prerequisites.,,AI Engineer,Important,Apply None concepts to practical tasks.,Coding Exercises,Coding Assignment,3,8,8,1,16,58,16
C008,Anatomy & Physiology: Filtration and Reproduction,Health,Intermediate,8,Data Scientist,Urinalysis,"Urinalysis, Biology, Physiology, Nephrology, Pathology, Gynecology, Anatomy, Urology, Obstetrics And Gynecology",35,,https://www.coursera.org/learn/anatomy-physiology-filtration-reproduction,Introduces key concepts and practical applications of None.,Health,High,High,Intermediate,Health,Urinalysis; Biology; Physiology; Nephrology; Pathology,Basic Knowledge Required,Relevant fundamentals based on prerequisites.,,Data Scientist,Important,Apply None concepts to practical tasks.,Coding Exercises,Coding Assignment,3,8,8,1,9,8,9
C009,Fundamentals of Red Hat Enterprise Linux,Information Technology,Intermediate,34,Full Stack,Red Hat Enterprise Linux,"Red Hat Enterprise Linux, Linux Commands, Linux, Open Source Technology, General Networking, Linux Administration, System Monitoring, File Management, Firewall, Operating System Administration, Package and Software Management, OS Process Management, Unix Shell, User Accounts, Command-Line Interface, Linux Servers",56,"Red Hat Enterprise Linux Command Line Essentials
Red Hat Enterprise Linux Command Line Essentials
Getting Help in Red Ha",https://www.coursera.org/learn/fundamentals-of-red-hat-enterprise-linux-9,Introduces key concepts and practical applications of None.,Information Technology,High,High,Intermediate,Information Technology,Red Hat Enterprise Linux; Linux Commands; Linux; Open Source Technology; General Networking,Basic Knowledge Required,Relevant fundamentals based on prerequisites.,,Full Stack,Important,Apply None concepts to practical tasks.,Coding Exercises,Coding Assignment,3,8,8,1,16,34,16
C010,Effective Compliance Programs,Business,Beginner,44,Full Stack,Strategic Planning,"Strategic Planning, Culture Transformation, Continuous Monitoring, Compliance Training, Psychology, Compliance Management, Industrial and Organizational Psychology, Ethical Standards And Conduct, Procedure Development, Internal Communications",23,"Recognize strategies for building a culture of compliance within an organization
Recognize strategies for building a cul",https://www.coursera.org/learn/effective-compliance-programs,Introduces key concepts and practical applications of None.,Business,High,High,Beginner,Business,Strategic Planning; Culture Transformation; Continuous Monitoring; Compliance Training; Psychology,Unknown,Relevant fundamentals based on prerequisites.,,Full Stack,Important,Apply None concepts to practical tasks.,Coding Exercises,Coding Assignment,1,8,8,1,10,44,10
